make,model,ModelTypeText,model_variant,color,carType,Ccm,city,Co2EmissionText,ConsumptionRatingText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Km,Properties,Seats,TransmissionTypeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
Morgan,4/4,4/4 1.8,4/4 1.8,Yellow,Cabriolet,1796,Zuzwil,null,G,2,Hinterradantrieb,6,2006,Benzin,7100,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Schaltgetriebe manuell,7.7,l/100km
ROLLS-ROYCE,CORNICHE,CORNICHE Cabrio,Cabrio,Yellow,Cabriolet,6747,Zuzwil,null,null,2,Hinterradantrieb,6,1987,Benzin,19720,"\"Ab MFK\"",4,Automatik-Getriebe,null,""
Ferrari,F355,F355 Berlinetta,F355 Berlinetta,Yellow,Coupé,3496,Zuzwil,null,null,2,Hinterradantrieb,3,1998,Benzin,28100,"\"Ab MFK\"",2,Automatik-Getriebe,20.8,l/100km
BMW,M5,M5,M5,Yellow,Limousine,4999,Zuzwil,357 g/km,G,4,Hinterradantrieb,4,2005,Benzin,3000,null,5,Automatisiertes Schaltgetriebe,14.8,l/100km
Daewoo,TACUMA,Tacuma 2000i CDX,Tacuma 2000i CDX,Yellow,Kompaktvan / Minivan,1998,Zuzwil,236 g/km,G,5,Vorderradantrieb,10,2003,Benzin,103000,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.0,l/100km
Renault,Alpine A110,Alpine A110 1600S Gruppe 5 look,1600S Gruppe 5 look,Other,Coupé,1565,Zuzwil,null,null,2,Hinterradantrieb,1,1971,null,19200,"\"Rennwagen\"",2,Schaltgetriebe,null,""
Porsche,911,911 Turbo S Cabrio PDK,911 Turbo S Cabrio PDK,Yellow,Cabriolet,3800,Zuzwil,270 g/km,G,2,Allrad,4,2011,Benzin,28000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,11.5,l/100km
Porsche,911,911 Targa,Targa,Yellow,Cabriolet,2687,Zuzwil,null,null,2,Hinterradantrieb,11,1971,Benzin,96000,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Maserati,3200 GT,3200 GT,3200 GT,Yellow,Coupé,3217,Zuzwil,388 g/km,null,2,Hinterradantrieb,3,2000,Benzin,64600,"\"Ab MFK\"",4,Automatik-Getriebe,15.6,l/100km
MERCEDES-BENZ,S 400,S 400 CDI,S 400 CDI,Yellow,Limousine,3996,Zuzwil,253 g/km,G,4,Hinterradantrieb,4,2001,Diesel,42000,"\"Ab MFK\"",5,Automat,9.6,l/100km
Ferrari,456,456M GT,456M GT,Yellow,Coupé,5474,Zuzwil,495 g/km,G,2,Hinterradantrieb,5,1999,Benzin,49000,"\"Ab MFK\"",4,Schaltgetriebe manuell,22.0,l/100km
Audi,S6,S6 quattro,S6 quattro,Yellow,Limousine,4172,Zuzwil,341 g/km,null,4,Allrad,8,2001,Benzin,103100,"\"Ab MFK\"",5,Automatik-Getriebe,14.2,l/100km
MERCEDES-BENZ,190,190 E 2.5-16 Evo II ABS,190 E 2.5-16 Evo II ABS,Yellow,Limousine,2461,Zuzwil,null,null,4,Hinterradantrieb,7,1991,Benzin,89700,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
Mazda,626,626 2.0i-16V HPV,626 2.0i-16V HPV,Yellow,Limousine,1991,Zuzwil,195 g/km,null,5,Vorderradantrieb,8,2001,Benzin,158000,"\"Ab MFK\"",5,Automatik-Getriebe,8.1,l/100km
Toyota,CAMRY,CAMRY 2000 GLi Super Liftback,2000 GLi Super Liftback,Yellow,Limousine,1994,Safenwil,null,null,4,Vorderradantrieb,5,1985,Benzin,58100,"\"Ab MFK\"",0,Automatik-Getriebe,null,""
Porsche,CAYENNE,Cayenne Turbo S,Cayenne Turbo S,Yellow,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,9,2006,Benzin,91600,"\"Ab MFK\"",5,Automat,15.7,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Other,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,3,2003,Benzin,121000,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
Chrysler,VIPER,Viper RT/10,Viper RT/10,Yellow,Cabriolet,7986,Zuzwil,null,null,2,Hinterradantrieb,10,1993,Benzin,28600,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,S 320,S 320,S 320,Yellow,Limousine,3199,Zuzwil,276 g/km,G,4,Hinterradantrieb,4,1999,Benzin,128000,"\"Ab MFK\"",5,Automat,11.5,l/100km
Toyota,MR2,MR2 2.0,MR2 2.0,Yellow,Coupé,1997,Zuzwil,null,null,2,Hinterradantrieb,12,1990,Benzin,135800,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Ferrari,TESTAR./512,Testarossa,Testarossa,Yellow,Coupé,4941,Zuzwil,null,null,2,Hinterradantrieb,1,1989,Benzin,31700,null,2,Schaltgetriebe manuell,null,""
Chevrolet,CORVETTE,Corvette ZR1,Corvette ZR1,Gold,Coupé,6162,Zuzwil,355 g/km,G,2,Hinterradantrieb,2,2010,Benzin,13000,"\"Ab MFK\"",2,Schaltgetriebe manuell,15.0,l/100km
BMW,M3,M3,M3,Gold,Cabriolet,3999,Zuzwil,293 g/km,G,2,Hinterradantrieb,7,2008,Benzin,78900,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,12.3,l/100km
Ruf,"",CTR,CTR,Gold,Coupé,3400,Zuzwil,null,null,2,null,1,1990,Benzin,46000,"\"Ab MFK\"",2,null,null,""
Renault,R5,R5 Turbo 2,R5 Turbo 2,Gold,Kleinwagen,1397,Zuzwil,null,null,3,Hinterradantrieb,5,1985,Benzin,59900,null,2,Schaltgetriebe manuell,null,""
Daimler,XJ,Six 4.0,Six 4.0,Gold,Limousine,3980,Zuzwil,null,null,4,Hinterradantrieb,1,1996,Benzin,94800,"\"Ab MFK\"",5,Automat,null,""
Mazda,RX-7,RX-7 2.6 Turbo II,RX-7 2.6 Turbo II,Grey,Cabriolet,2616,Zuzwil,null,null,2,Hinterradantrieb,8,1989,Benzin,67200,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Bugatti,"",Veyron 16.4,Veyron 16.4,Other,Coupé,7993,Sursee,null,null,2,Allrad,7,2008,Benzin,20000,null,2,Automatik-Getriebe,null,""
Porsche,911,911 Turbo,911 Turbo,Grey,Coupé,3600,Zuzwil,309 g/km,G,2,Allrad,10,2001,Benzin,25900,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.9,l/100km
Porsche,911,911 Carrera Cabrio,911 Carrera Cabrio,Grey,Cabriolet,3596,Zuzwil,270 g/km,G,2,Hinterradantrieb,6,2005,Benzin,20400,"\"Ab MFK\"",2,Schaltgetriebe manuell,11.2,l/100km
MERCEDES-BENZ,S 500,S 500 L 4Matic,S 500 L 4Matic,Grey,Limousine,4966,Zuzwil,311 g/km,G,4,Allrad,12,2002,Benzin,54500,"\"Ab MFK\"",5,Automat,12.9,l/100km
Bugatti,EB,EB 110 GT/SS,110 GT/SS,Grey,Coupé,3500,Zuzwil,null,null,2,Allrad,8,1998,Benzin,4000,null,2,Schaltgetriebe,null,""
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Grey,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,10,2008,Benzin,41900,"\"Ab MFK\"",5,Automat sequentiell,14.0,l/100km
Ferrari,575M,575M,575M,Grey,Coupé,5748,Zuzwil,499 g/km,null,2,Hinterradantrieb,12,2003,Benzin,8100,"\"Ab MFK\"",2,Automatik-Getriebe,21.8,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Grey,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,1,2003,Benzin,39000,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
Jaguar,S-TYPE,S-Type 4.2 V8 S/C R,S-Type 4.2 V8 S/C R,Grey,Limousine,4196,Zuzwil,314 g/km,G,4,Hinterradantrieb,7,2002,Benzin,32900,"\"Ab MFK\"",5,Automat,12.5,l/100km
Maserati,SPYDER GT,Spyder GT,Spyder GT,Grey,Cabriolet,4244,Zuzwil,400 g/km,G,2,Hinterradantrieb,5,2002,Benzin,63000,"\"Ab MFK\"",2,Automatik-Getriebe,17.5,l/100km
Porsche,911,911 Carrera Targa,911 Carrera Targa,Grey,Cabriolet,3596,Zuzwil,269 g/km,null,2,Hinterradantrieb,5,2002,Benzin,61800,"\"Ab MFK\"",4,Automatik-Getriebe,11.1,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Other,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,6,2008,Benzin,32800,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,14.0,l/100km
Ferrari,F355,F355 GTS,F355 GTS,Grey,Cabriolet,3496,Zuzwil,395 g/km,null,2,Hinterradantrieb,10,1997,Benzin,41000,"\"Ab MFK\"",2,Schaltgetriebe manuell,16.9,l/100km
Maserati,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,Grey,Limousine,4244,Zuzwil,370 g/km,G,4,Hinterradantrieb,6,2006,Benzin,46050,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,15.8,l/100km
MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,Grey,Limousine,3199,Zuzwil,266 g/km,G,4,Allrad,3,2000,Benzin,83900,"\"Ab MFK\"",5,Automat,11.1,l/100km
Jaguar,XK,XK8 Convertible,XK8 Convertible,Grey,Cabriolet,3996,Zuzwil,310 g/km,G,2,Hinterradantrieb,7,1998,Benzin,99800,"\"Ab MFK\"",4,Automat,12.1,l/100km
Chevrolet,CORVETTE,CORVETTE,null,Grey,Coupé,5730,Zuzwil,null,null,2,Hinterradantrieb,1,1981,Benzin,27700,"\"Ab MFK\"",2,Automatik-Getriebe,null,""
Maserati,SPYDER GT,Spyder GT,Spyder GT,Grey,Cabriolet,4244,Zuzwil,430 g/km,G,2,Hinterradantrieb,6,2002,Benzin,88500,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,18.6,l/100km
Ferrari,F360,F360 Spider,F360 Spider,Grey,Cabriolet,3586,Zuzwil,440 g/km,G,2,Hinterradantrieb,9,2002,Benzin,16600,"\"Ab MFK\"",2,Schaltgetriebe manuell,19.3,l/100km
Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,Grey,Kleinwagen,1397,Zuzwil,null,null,3,Vorderradantrieb,7,1982,Benzin,124500,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
Ferrari,575M,575M,575M,Grey,Coupé,5748,Zuzwil,499 g/km,G,2,Hinterradantrieb,12,2006,Benzin,15900,"\"Ab MFK\"",2,Automatik-Getriebe,21.8,l/100km
Lancia,DELTA,Delta HF Integrale Evo,Delta HF Integrale Evo,Grey,Limousine,1994,Zuzwil,null,null,5,Allrad,2,1992,Benzin,155000,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
MERCEDES-BENZ,SL 600,SL 600,SL 600,Other,Cabriolet,5984,Zuzwil,null,null,2,Hinterradantrieb,7,1994,Benzin,48700,"\"Ab MFK\"",2,Automat,null,""
Bentley,ARNAGE,Arnage R,Arnage R,Grey,Limousine,6761,Zuzwil,495 g/km,G,4,Hinterradantrieb,4,2005,Benzin,145000,"\"Ab MFK\"",5,Automat,20.6,l/100km
MERCEDES-BENZ,CL 500,CL 500,CL 500,Grey,Coupé,4966,Zuzwil,270 g/km,G,2,Hinterradantrieb,1,2005,Benzin,165,"\"Ab MFK\"",4,Automat sequentiell,11.4,l/100km
MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,Grey,Limousine,5439,Zuzwil,301 g/km,null,4,Hinterradantrieb,3,1998,Benzin,47400,"\"Ab MFK\"",5,Automat,12.6,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Grey,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,6,2003,Benzin,68700,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Grey,SUV / Geländewagen,4806,Zuzwil,358 g/km,G,5,Allrad,8,2008,Benzin,28000,"\"Ab MFK\"",5,Automat,14.9,l/100km
MERCEDES-BENZ,SL 600,SL 600,SL 600,Grey,Cabriolet,5513,Zuzwil,346 g/km,G,2,Hinterradantrieb,3,2004,Benzin,20000,"\"Ab MFK\"",2,Automat,14.4,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro MTM,RS6 Avant 5.0 V10 quattro MTM,Grey,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,9,2008,Benzin,24600,"\"Ab MFK\"",5,Automat,14.0,l/100km
AUSTIN-HEALEY,"",100/Six BN6 Roadster,100/Six BN6 Roadster,Grey,Cabriolet,2912,Safenwil,null,null,2,Hinterradantrieb,1,1959,Benzin,16900,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Ruf,"",CTR 2 Sport,CTR 2 Sport,Grey,Coupé,3600,Zuzwil,null,null,2,Allrad,10,1997,Benzin,20900,null,2,Schaltgetriebe manuell,null,""
Porsche,911,911 Turbo,911 Turbo,Grey,Coupé,3600,Zuzwil,309 g/km,G,2,Allrad,6,2002,Benzin,52900,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell,12.9,l/100km
Bentley,TURBO,Turbo R,Turbo R,Other,Limousine,6749,Zuzwil,null,null,4,Hinterradantrieb,4,1990,Benzin,112500,"\"Ab MFK\"",5,Automat,null,""
Porsche,911,911 Carrera S Cabrio,911 Carrera S Cabrio,Grey,Cabriolet,3824,Zuzwil,280 g/km,G,2,Hinterradantrieb,3,2006,Benzin,29500,"\"Ab MFK\"",2,Schaltgetriebe manuell,11.6,l/100km
BMW,535,535i Touring,535i Touring,Grey,Kombi,2979,Zuzwil,179 g/km,F,5,Hinterradantrieb,7,2011,Benzin,76500,"\"Ab MFK\"",5,Automat sequentiell,7.7,l/100km
Porsche,911,911 Turbo,911 Turbo,Grey,Coupé,3600,Zuzwil,309 g/km,G,2,Allrad,9,2003,Benzin,63300,"\"Ab MFK\"",4,Schaltgetriebe manuell,12.9,l/100km
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Grey,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,9,2004,Benzin,31000,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
Toyota,CELICA,Celica 2800 i Supra,Celica 2800 i Supra,Grey,Coupé,2759,Zuzwil,null,null,3,Hinterradantrieb,3,1983,Benzin,158000,"\"Ab MFK\"",5,Schaltgetriebe manuell,null,""
Porsche,911,911 Turbo,911 Turbo,Grey,Coupé,3600,Zuzwil,null,null,2,Allrad,5,1996,Benzin,88100,null,2,Schaltgetriebe manuell,15.7,l/100km
Renault,Alpine A110,Alpine A110 1600 SX,1600 SX,Grey,Coupé,1635,Zuzwil,null,null,2,null,6,1977,Benzin,41400,"\"Ab MFK\"",2,Schaltgetriebe,null,""
MERCEDES-BENZ,SL 350,SL 350,SL 350,Grey,Cabriolet,3724,Zuzwil,281 g/km,G,2,Hinterradantrieb,5,2004,Benzin,105300,"\"Ab MFK\"",2,Automat,11.7,l/100km
Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Range Rover 4.6 HSE,Grey,SUV / Geländewagen,4554,Zuzwil,414 g/km,null,5,Allrad,12,1996,Benzin,54600,"\"Ab MFK\"",5,Automat,16.2,l/100km
Porsche,PANAMERA,Panamera Turbo 4.8,Panamera Turbo 4.8,Grey,Limousine,4806,Zuzwil,270 g/km,G,5,Allrad,1,2010,Benzin,47500,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,11.5,l/100km
Porsche,911,911 Carrera,911 Carrera,Other,Cabriolet,3387,Zuzwil,304 g/km,null,2,Hinterradantrieb,7,1998,Benzin,89500,"\"Ab MFK\"",4,Automat,12.0,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Grey,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,3,2009,Benzin,59900,"\"Ab MFK\"",5,Automat sequentiell,14.0,l/100km
BMW,540,540i Touring,540i Touring,Grey,Kombi,4398,Zuzwil,308 g/km,G,5,Hinterradantrieb,1,1998,Benzin,85800,"\"Ab MFK\"",5,Automat,13.0,l/100km
Maserati,SPYDER GT,Spyder GT,Spyder GT,Grey,Cabriolet,4244,Zuzwil,400 g/km,null,2,Hinterradantrieb,6,2003,Benzin,50300,"\"Ab MFK\"",2,Automatik-Getriebe,17.5,l/100km
Maserati,COUPÉ GT,Coupé GT,Coupé GT,Grey,Coupé,4244,Zuzwil,400 g/km,G,2,Hinterradantrieb,6,2002,Benzin,114800,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,17.5,l/100km
Lamborghini,HURACAN,Huracan LP610-4 Coupé,Huracan LP610-4 Coupé,Grey,Coupé,5204,Zuzwil,290 g/km,G,2,Allrad,7,2015,Benzin,300,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Automatisiertes Schaltgetriebe,12.5,l/100km
Aston Martin,Virage,Virage,Virage,Grey,Coupé,5338,Zuzwil,null,null,2,Hinterradantrieb,4,1991,Benzin,68800,"\"Ab MFK\"",4,Automatik-Getriebe,null,""
Fiat,PUNTO,Punto 1.8 16V HGT,Punto 1.8 16V HGT,Grey,Kleinwagen,1747,Zuzwil,197 g/km,G,3,Vorderradantrieb,5,2004,Benzin,75200,"\"Ab MFK\"",5,Schaltgetriebe manuell,8.3,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Grey,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,4,2003,Benzin,32900,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,14.6,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Grey,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,8,2002,Benzin,100200,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,14.6,l/100km
BMW,X5,X5 4.4i,X5 4.4i,Grey,SUV / Geländewagen,4398,Zuzwil,335 g/km,G,5,Allrad,1,2001,Benzin,113000,"\"Ab MFK\"",5,Automat sequentiell,13.9,l/100km
Giottiline,"",Therry T22,Therry T22,Other,Wohnkabine,2198,Zuzwil,null,null,0,Vorderradantrieb,4,2014,Diesel,200,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Ferrari,612,612,612,Grey,Coupé,5748,Zuzwil,470 g/km,G,2,Hinterradantrieb,2,2008,Benzin,37000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,20.5,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Grey,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,6,2008,Benzin,36700,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell,14.0,l/100km
Porsche,911,911 Turbo,911 Turbo,Grey,Coupé,3600,Zuzwil,339 g/km,G,2,Allrad,7,2000,Benzin,69200,"\"Ab MFK\"",4,Automatik-Getriebe,13.9,l/100km
MERCEDES-BENZ,S 55 AMG,S 55 AMG,S 55 AMG,Grey,Limousine,5439,Zuzwil,310 g/km,G,4,Hinterradantrieb,7,2001,Benzin,205500,"\"Ab MFK\"",5,Automat,13.0,l/100km
Audi,R8,R8 Coupé 4.2,R8 Coupé 4.2,Grey,Coupé,4163,Zuzwil,325 g/km,G,2,Allrad,6,2007,Benzin,65000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.6,l/100km
MERCEDES-BENZ,CLK 63 AMG,CLK 63 AMG Black Series,CLK 63 AMG Black Series,Grey,Coupé,6209,Zuzwil,369 g/km,G,2,Hinterradantrieb,7,2008,Benzin,36000,"\"Ab MFK\"",2,Automat sequentiell,15.3,l/100km
Bentley,CONTINENTAL,Continental GTC 6.0,Continental GTC 6.0,Grey,Cabriolet,5998,Zuzwil,410 g/km,G,2,Allrad,2,2007,Benzin,58000,"\"Ab MFK\"",4,Automat,17.1,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Grey,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,1,2004,Benzin,93500,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
Ferrari,F550,F550 Maranello,F550 Maranello,Grey,Coupé,5474,Zuzwil,530 g/km,null,2,Hinterradantrieb,5,1997,Benzin,62000,"\"Ab MFK\"",2,Schaltgetriebe manuell,22.9,l/100km
Aston Martin,DBS,DBS Coupé,DBS Coupé,Grey,Coupé,5935,Zuzwil,388 g/km,G,2,Hinterradantrieb,4,2012,Benzin,5000,"\"Ab MFK\"",2,Schaltgetriebe manuell,16.4,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Other,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,10,2002,Benzin,38500,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
MERCEDES-BENZ,SL 500,SL 500,SL 500,Other,Cabriolet,4973,Zuzwil,328 g/km,null,2,Hinterradantrieb,4,1998,Benzin,48300,"\"Ab MFK\"",0,Automat,14.3,l/100km
MERCEDES-BENZ,S 500,S 500,S 500,Grey,Limousine,4966,Zuzwil,299 g/km,G,4,Hinterradantrieb,9,1999,Benzin,112800,"\"Ab MFK\"",5,Automat,12.5,l/100km
MERCEDES-BENZ,E 500,E 500 Limited,E 500 Limited,Grey,Limousine,4971,Zuzwil,null,null,4,Hinterradantrieb,6,1994,Benzin,206000,"\"Ab MFK\"",4,Automat,null,""
MERCEDES-BENZ,CL 65 AMG,CL 65 AMG,CL 65 AMG,Grey,Coupé,5981,Zuzwil,357 g/km,G,2,Hinterradantrieb,1,2006,Benzin,19800,"\"Ab MFK\"",4,Automat sequentiell,14.9,l/100km
MERCEDES-BENZ,SL 500,SL 500 Special Edition,SL 500 Special Edition,Grey,Cabriolet,4971,Zuzwil,null,null,2,Hinterradantrieb,4,1996,Benzin,55200,"\"Ab MFK\"",2,Automat,null,""
Lamborghini,GALLARDO,Gallardo LP560-4 Coupé,Gallardo LP560-4 Coupé,Grey,Coupé,5204,Zuzwil,325 g/km,G,2,Allrad,1,2009,Benzin,24000,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,13.7,l/100km
Porsche,BOXSTER,Boxster S 3.4,Boxster S 3.4,Grey,Cabriolet,3387,Zuzwil,254 g/km,G,2,Hinterradantrieb,2,2007,Benzin,68900,"\"Ab MFK\"",2,Schaltgetriebe manuell,10.6,l/100km
VW,PHAETON,Phaeton 4.2 V8 4Motion,Phaeton 4.2 V8 4Motion,Grey,Limousine,4172,Zuzwil,310 g/km,G,4,Allrad,11,2003,Benzin,119000,"\"Ab MFK\"",5,Automat sequentiell,12.9,l/100km
Ferrari,612,612,612,Grey,Coupé,5748,Zuzwil,475 g/km,G,2,Hinterradantrieb,7,2004,Benzin,45000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,20.7,l/100km
Audi,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,Grey,Kombi,4991,Zuzwil,333 g/km,G,5,Allrad,6,2008,Benzin,14000,"\"Ab MFK\"",5,Automat,14.0,l/100km
Porsche,911,911 Carrera,911 Carrera,Grey,Coupé,3387,Zuzwil,290 g/km,G,2,Hinterradantrieb,4,2001,Benzin,135800,"\"Ab MFK\"",4,Automat,12.0,l/100km
Porsche,911,911 Turbo,911 Turbo,Other,Coupé,3600,Zuzwil,309 g/km,G,2,Allrad,11,2001,Benzin,47600,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell,12.9,l/100km
Renault,"",R8 Gordini,R8 Gordini,Grey,Kleinwagen,0,Zuzwil,null,null,0,null,4,1969,null,45000,"\"Ab MFK\"",0,Schaltgetriebe,null,""
MERCEDES-BENZ,S 500,S 500 L,S 500 L,Grey,Limousine,4966,Zuzwil,320 g/km,G,4,Hinterradantrieb,5,1999,Benzin,32700,"\"Ab MFK\"",5,Automat,13.4,l/100km
BMW,323,323i Sport Edition,323i Sport Edition,Grey,Limousine,2494,Zuzwil,221 g/km,null,4,Hinterradantrieb,7,1997,Benzin,82500,"\"Ab MFK\"",5,Schaltgetriebe manuell,9.2,l/100km
MERCEDES-BENZ,CL 500,CL 500 4Matic,CL 500 4Matic,Grey,Coupé,4663,Zuzwil,242 g/km,G,2,Allrad,1,2011,Benzin,79500,"\"Ab MFK\"",4,Automat sequentiell,10.1,l/100km
VW,BEETLE,BEETLE New Beetle Cup,New Beetle Cup,Grey,Limousine,2792,Zuzwil,null,null,2,Vorderradantrieb,9,2000,Benzin,1,"\"Rennwagen\"",2,Schaltgetriebe,null,""
Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,Grey,SUV / Geländewagen,4511,Zuzwil,378 g/km,G,5,Allrad,4,2003,Benzin,127000,"\"Ab MFK\"",5,Automat sequentiell,15.7,l/100km
MERCEDES-BENZ,S 500,S 500 L,S 500 L,Grey,Limousine,4973,Zuzwil,353 g/km,null,4,Hinterradantrieb,6,1998,Benzin,128800,"\"Ab MFK\"",5,Automat,15.4,l/100km
MERCEDES-BENZ,SL 55 AMG,SL 55 AMG,SL 55 AMG,Grey,Cabriolet,5439,Zuzwil,340 g/km,G,2,Hinterradantrieb,6,2002,Benzin,6000,"\"Ab MFK\"",2,Automat,14.2,l/100km
Audi,RS6,RS6 Avant quattro,RS6 Avant quattro,Grey,Kombi,4172,Zuzwil,350 g/km,G,5,Allrad,11,2002,Benzin,38500,"\"Ab MFK\"",5,Automat sequentiell,14.6,l/100km
MG,MGC,C GT,GT,Grey,Coupé,2912,Zuzwil,null,null,3,Hinterradantrieb,8,1968,Benzin,48800,"\"Ab MFK\"",4,Schaltgetriebe,null,""
Audi,A8,A8 4.2 quattro,A8 4.2 quattro,Other,Limousine,4172,Zuzwil,322 g/km,null,4,Allrad,9,1997,Benzin,125400,null,5,Automat,13.5,l/100km
Porsche,924,924,null,Grey,Coupé,1983,Zuzwil,null,null,2,Hinterradantrieb,4,1978,Benzin,51000,"\"Ab MFK\"",4,Schaltgetriebe manuell,null,""
Ford,"",T - Roadster,T - Roadster,Grey,Coupé,2884,Zuzwil,null,null,2,Hinterradantrieb,1,1927,Benzin,1,null,2,Schaltgetriebe,null,""
MERCEDES-BENZ,CLK 430,CLK 430 Elégance,CLK 430 Elégance,Grey,Coupé,4266,Zuzwil,278 g/km,G,2,Hinterradantrieb,1,2001,Benzin,100,"\"Ab MFK\"",4,Automat,11.6,l/100km
VW,GOLF,Golf 2.0 TSI R 4Motion,Golf 2.0 TSI R 4Motion,Grey,Limousine,1984,Zuzwil,199 g/km,G,5,Allrad,3,2011,Benzin,36300,"\"Ab MFK\"",5,Schaltgetriebe manuell,8.5,l/100km
Porsche,911,911 Carrera RS Clubsport/993 GT2,911 Carrera RS Clubsport/993 GT2,Grey,Coupé,3744,Zuzwil,null,null,2,Hinterradantrieb,4,1996,Benzin,91000,"\"Ab MFK\"",2,Schaltgetriebe manuell,null,""
Land Rover,DEFENDER,Defender 90 2.4Td4 SW,Defender 90 2.4Td4 SW,Grey,Kombi,2402,Zuzwil,266 g/km,null,3,Allrad,2,2011,Diesel,50400,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Schaltgetriebe manuell,10.0,l/100km
MERCEDES-BENZ,S 65 AMG,S 65 AMG L,S 65 AMG L,Grey,Limousine,5981,Zuzwil,355 g/km,G,4,Hinterradantrieb,3,2006,Benzin,39800,"\"Ab MFK\"",5,Automat sequentiell,14.8,l/100km
