ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1017.0,VW,JETTA,Jetta 2.0 TDI Comfort,Jetta 2.0 TDI Comfort,VW Jetta 2.0 TDI Comfort,Silver,Limousine,1968,Zuzwil,154 g/km,Occasion,E,5.8 l/100km,4,Vorderradantrieb,3,2009,Diesel,140,grau,33500,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
1018.0,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,Silver,Limousine,2497,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,1,1989,Benzin,195,schwarz,198000,"\"Ab MFK\"",5,Automat
1019.0,Wiesmann,COUPE,GT MF5,GT MF5,WIESMANN GT MF5,Silver,Coupé,4999,Zuzwil,null,Occasion,G,14.1 l/100km,2,Hinterradantrieb,7,2008,Benzin,507,schwarz,34600,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
102.0,Porsche,911,911 Turbo Cabrio,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,Blue,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,12,2009,Benzin,500,mehrfarbig,52000,"\"Ab MFK\", \"Direkt-/Parallelimport\"",4,Automatisiertes Schaltgetriebe
1020.0,BMW,Z4,Z4 M Coupé,Z4 M Coupé,BMW Z4 M Coupé,Silver,Coupé,3246,Zuzwil,292 g/km,Vorführmodell,G,12.1 l/100km,2,Hinterradantrieb,8,2011,Benzin,343,schwarz,10900,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe manuell
1021.0,Renault,Alpine A110,Alpine A110 1300S,1300S,RENAULT Alpine A110 1300S,Silver,Coupé,1296,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1969,Benzin,0,schwarz,9999,"\"Ab MFK\"",0,Schaltgetriebe
1022.0,Maserati,COUPÉ GT,Coupé GT,Coupé GT,MASERATI Coupé GT,Silver,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,braun,62300,"\"Ab MFK\"",4,Automatik-Getriebe
1023.0,Renault,ALPINE,ALPINE 1600 VF,1600 VF,RENAULT ALPINE 1600 VF,Silver,Coupé,1605,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,8,1976,Benzin,140,schwarz,42940,"\"Ab MFK\"",4,Schaltgetriebe
1024.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,8,2002,Benzin,335,grau,35100,"\"Ab MFK\"",5,Automat sequentiell
1025.0,Chevrolet,CORVETTE,Corvette Z06,Corvette Z06,CHEVROLET Corvette Z06,Silver,Coupé,7011,Zuzwil,350 g/km,Occasion,G,14.7 l/100km,2,Hinterradantrieb,3,2010,Benzin,512,schwarz,24000,"\"Ab MFK\"",2,Schaltgetriebe manuell
